Code,Name,Remark
1,LIBWFX_ERRCODE_SUCCESS????????,The function is performed successfully?
2,LIBWFX_ERRCODE_FAIL???????????????????????,The function is failed?
3,LIBWFX_ERRCODE_NO_INIT????????????????,Not do AVISP_INIT?
4,LIBWFX_ERRCODE_NOT_YET_OPEN_DEVICE?????,Not do AVISP_OPEN_DEVICE?
5,LIBWFX_ERRCODE_DEVICE_ALREADY_OPEN?,The device has opened by AVISP_OPEN_DEVICE?
6,LIBWFX_ERRCODE_INVALID_SOURCE?????????????,Input invalid source?
7,LIBWFX_ERRCODE_NO_ENABLE_THRESHOLD??????,"In BW mode, the threshold?config?does not enable?"
8,LIBWFX_ERRCODE_NO_SUPPORT_THRESHOLD?????,"In Auto mode, the threshold not support?"
9,LIBWFX_ERRCODE_NOT_YET_SET_SCAN_PROPERTY???,Not yet set scan property?
10,LIBWFX_ERRCODE_NO_SET_RECOGNIZE_TOOL???,Not yet set Recognize tool?
11,LIBWFX_ERRCODE_OCR_NOT_SUPPORT_BOTTOMUP?,OCR can't recognize bottom-up source?
12,LIBWFX_ERRCODE_READ_IMAGE_FAILED?,Reading Image file Failed?
13,LIBWFX_ERRCODE_ONLY_SUPPORT_COLOR_MODE?,Only support color mode?
14,LIBWFX_ERRCODE_ICM_PROFILE_NOT_EXIST?,Icm?Profile is not?exist?
15,LIBWFX_ERRCODE_NO_SUPPORT_EJECT????,No support eject direction control?
16,LIBWFX_ERRCODE_NO_SUPPORT_JPEGXFER????,No support jpeg output form source?
17,LIBWFX_ERRCODE_PAPER_NOT_READY?????,No paper?
18,LIBWFX_ERRCODE_INVALID_SERIALNUM?,The Serial number is?invailid?
19,LIBWFX_ERRCODE_DISCONNECT??????????????????,The internet has problem in Remote mode?
20,LIBWFX_ERRCODE_FORMAT_NOT_SUPPORT???,The?recognizetextoupt?format is not supported?
21,LIBWFX_ERRCODE_NO_CALIBRATION_DATA?,Not yet calibration?
22,LIBWFX_ERRCODE_OCR_TOOL_NOT_SUPPORT?????,No support OCR tool?
23,LIBWFX_ERRCODE_RECOGNIZE_TYPE_NOT_SUPPORT?,No support table recognize?
24,LIBWFX_ERRCODE_INVALID_CERTIFICATE?,The Certificate or Recognize Type is?invailid?
25,LIBWFX_ERRCODE_AP_ALREADY_EXISIT???,Ap?has already?exisited?
26,LIBWFX_ERRCODE_OPENs_REGISTRY_KEY_FAILED?,Open registry key failed?
27,LIBWFX_ERRCODE_LOAD_MRTD_DLL_FAIL????????,Load MRTD process failed?
28,LIBWFX_ERRCODE_NO_SUPPORT_DUPLEX?,No support duplex form source?
29,LIBWFX_ERRCODE_COVER_OPENED?,Device Cover Opened?
30,LIBWFX_ERRCODE_CERTIFICATE_EXPIRED????,Certificate expired?
31,LIBWFX_ERRCODE_ALREADY_INIT?,Already?init?
1001,LIBWFX_ERRCODE_NO_AVI_OCR,AVIOCR is not installed?
1002,LIBWFX_ERRCODE_NO_DOC_OCR?,DOCOCR is not installed?
1003,LIBWFX_ERRCODE_NO_OCR?,AVIOCR & DOCOCR are not installed?
1004,LIBWFX_ERRCODE_NO_DEVICES?,No device detected?
1005,LIBWFX_ERRCODE_NO_DEVICE_NAME?,Command has no device-name field?
1006,LIBWFX_ERRCODE_NO_SOURCE?,Command has no source field?
1007,LIBWFX_ERRCODE_FILE_NOT_EXIST?,"When the?GetFileData/GetRecognizeData?is executed, the file or folder is?not?exist?"
1008,LIBWFX_ERRCODE_PATH_TOO_LONG?,Execution file address is too long?
1009,LIBWFX_ERRCODE_COMMAND_KEY_MISMATCH?,There is?a?unsatisfied type in the command?
1010,LIBWFX_ERRCODE_SCANNING?,The scanning process is not over yet?
1011,LIBWFX_ERRCODE_FILE_OCCUPIED?,"When the?RecycleSaveFolder?is executed, the file or folder is occupied?"
1012,?LIBWFX_ERRCODE_SAVEPATH_ERROR?,"When the?RecycleSaveFolder?is executed, the save path format error?"
1013,LIBWFX_ERRCODE_TIMEOUT?,Timeout error?
